LANE_05;96.3;14.7
LANE_06;92.4;9.8
LANE_07;89.6;5.7
LANE_08;104.2;7.3
LANE_09;90.3;19.7
LANE_03;80.2;14.7
LANE_04;95.1;19.7
LANE_05;82.9;29.6
LANE_07;100.8;14.7
LANE_08;92.1;14.8
LANE_09;89.2;11.8
LANE_02;61.8;19.6
LANE_03;89.1;14.7
LANE_04;93.2;11.7
LANE_05;65.3;58.8
LANE_06;93.6;14.8
LANE_07;102;8.3
LANE_08;93.2;29.7
LANE_09;86;59.8
LANE_02;62.8;59.7
LANE_03;83.9;5.7
LANE_04;87.4;14.8
LANE_05;73.9;29.7
LANE_06;90.2;19.8
LANE_07;106.3;19.7
LANE_08;90.7;8.3
LANE_09;89.7;8.3
LANE_10;92.5;29.8
LANE_02;56.6;19.2
LANE_03;76.2;19.6
LANE_04;101.2;11.8
LANE_05;84.6;9.7
LANE_06;102.4;14.8
LANE_07;92.1;9.7
LANE_08;105.8;19.8
LANE_09;102.1;11.8
LANE_02;75;29.7
LANE_03;84.8;5.7
LANE_04;87.7;19.8
LANE_05;81.5;14.6
LANE_06;88.2;19.7
LANE_07;82.5;29.6
LANE_08;97.7;11.8
LANE_02;58.8;14.3
LANE_03;78.9;7.2
LANE_04;113.6;19.8
LANE_05;89.7;29.8
LANE_06;88.2;19.8
LANE_08;98.9;7.2
LANE_09;98.4;14.7
LANE_02;25.8;27.9
LANE_03;69;19.5
LANE_04;84.9;29.7
LANE_05;85.1;29.6
LANE_06;87.9;14.7
LANE_07;94.8;14.7
LANE_08;93.9;9.7
LANE_09;73.6;19.7
LANE_10;112.1;59.8
LANE_02;64.4;9.6
LANE_03;73.5;8.2
LANE_04;86.7;8.3
LANE_05;89.5;11.5
LANE_06;92.1;59.8
LANE_07;97.5;9.7
LANE_08;91.8;7.2
LANE_09;124.2;29.8
LANE_02;73.5;19.7
LANE_03;79;9.7
LANE_04;89.7;14.8
LANE_05;102.1;19.8
LANE_06;102.1;59.8
LANE_07;95.2;14.7
LANE_08;99.2;14.8
LANE_09;89.4;11.8
LANE_02;53.8;14.5
LANE_03;66.1;29.6
LANE_04;86.5;29.8
LANE_05;77.6;11.4
LANE_06;98.5;14.8
LANE_07;88.3;19.7
LANE_08;89.7;11.7
LANE_09;115;29.8
LANE_10;131.6;59.8
LANE_02;76.2;29.7
LANE_03;81.8;11.7
LANE_04;65.3;19.4
LANE_05;66.7;59.5
LANE_06;93.9;19.7
LANE_07;91.5;11.7
LANE_08;92.4;7.2
LANE_09;90.9;9.8
LANE_10;93.8;59.8
LANE_02;55.6;59.6
LANE_03;90.4;8.3
LANE_04;95.2;59.8
LANE_05;88.3;29.6
LANE_06;102.5;19.8
LANE_07;90.3;9.7
LANE_08;87.4;14.7
LANE_09;104.2;29.6
LANE_02;70.2;29.7
LANE_03;83;14.7
LANE_04;82.1;29.6
LANE_05;91.3;59.7
LANE_06;90;11.7
LANE_07;86.4;8.2
LANE_08;85.3;11.7
LANE_09;93.3;29.8
LANE_10;93.8;59.6
LANE_03;80.2;9.7
LANE_04;62.1;59.6
LANE_05;99;59.8
LANE_06;91.7;14.8
LANE_07;91.2;14.7
LANE_08;93;14.7
LANE_09;81;59.8
LANE_02;87.5;59.8
LANE_03;79.1;14.7
LANE_04;92.4;19.8
LANE_05;76.1;19.6
LANE_06;93.9;59.8
LANE_07;87.3;8.3
LANE_08;90.6;11.8
LANE_09;89.5;11.8
LANE_02;70.6;29.7
LANE_03;75.2;19.7
LANE_04;87.6;8.3
LANE_05;79.1;29.6
LANE_06;92.1;19.7
LANE_07;87.2;19.7
LANE_08;90.1;9.8
LANE_09;87.2;11.8
LANE_10;94.9;59.8
LANE_02;55.7;29.4
LANE_03;80.8;11.7
LANE_04;88.6;29.8
LANE_05;76.8;59.7
LANE_06;73.3;59.1
LANE_07;110.4;14.7
LANE_08;96.3;14.8
LANE_09;106.9;19.8
